source,line,tag,attributes
docs.html,7,meta,"{""content"": ""Quick-start documentation for Cassette.mp4 and Olsen Automation context tools."", ""name"": ""description""}"
family-card-chaos-access.html,4,meta,"{""charset"": ""utf-8""}"
family-card-chaos-access.html,5,meta,"{""content"": ""width=device-width, initial-scale=1"", ""name"": ""viewport""}"
family-card-chaos-access.html,7,meta,"{""content"": ""Private family instructions for requesting access and joining Family Card Chaos."", ""name"": ""description""}"
family-card-chaos-access.html,8,meta,"{""content"": ""noindex, nofollow, noarchive, nosnippet"", ""name"": ""robots""}"
family-card-chaos-access.html,9,meta,"{""content"": ""no-referrer"", ""name"": ""referrer""}"
family-card-chaos-access.html,10,meta,"{""content"": ""#f6f3ef"", ""name"": ""theme-color""}"
firefly-living-lights.html,4,meta,"{""charset"": ""utf-8""}"
firefly-living-lights.html,5,meta,"{""content"": ""width=device-width, initial-scale=1"", ""name"": ""viewport""}"
firefly-living-lights.html,7,meta,"{""content"": ""Living Lights is an active ESP32-based outdoor low-voltage lighting prototype designed to imitate the calm, organic behavior of living fireflies."", ""name"": ""description""}"
firefly-living-lights.html,8,meta,"{""content"": ""#f6f3ef"", ""name"": ""theme-color""}"
firefly-living-lights.html,9,link,"{""href"": ""https://olsenautomation.com/firefly-living-lights.html"", ""rel"": ""canonical""}"
index.html,4,meta,"{""charset"": ""utf-8""}"
index.html,5,meta,"{""content"": ""width=device-width, initial-scale=1"", ""name"": ""viewport""}"
index.html,7,meta,"{""content"": ""Olsen Automation LLC builds practical AI systems, automation workflows, context tools, and AI-assisted production systems for creators and businesses."", ""name"": ""description""}"
product-photo-production.html,4,meta,"{""charset"": ""utf-8""}"
product-photo-production.html,5,meta,"{""content"": ""width=device-width, initial-scale=1"", ""name"": ""viewport""}"
product-photo-production.html,6,meta,"{""content"": ""noindex,nofollow"", ""name"": ""robots""}"
product-photo-production.html,8,meta,"{""content"": ""A short product image production portfolio showing hands-on photography, Photoshop retouching, AI-assisted image generation, and creative-director QA."", ""name"": ""description""}"
support.html,4,meta,"{""charset"": ""utf-8""}"
support.html,5,meta,"{""content"": ""width=device-width, initial-scale=1"", ""name"": ""viewport""}"
support.html,7,meta,"{""content"": ""Support information for Olsen Automation tools and Cassette.mp4 inquiries."", ""name"": ""description""}"
territory-sales-execution.html,4,meta,"{""charset"": ""utf-8""}"
territory-sales-execution.html,5,meta,"{""content"": ""width=device-width,initial-scale=1"", ""name"": ""viewport""}"
territory-sales-execution.html,6,meta,"{""content"": ""noindex,nofollow,noarchive"", ""name"": ""robots""}"
territory-sales-execution.html,7,meta,"{""content"": ""Brian Olsen's territory sales and retail execution portfolio: spirits, RTD, wine, off-premise merchandising, promotional displays, distributor coordination, route management, and field reporting."", ""name"": ""description""}"
verify.html,4,meta,"{""charset"": ""utf-8""}"
verify.html,5,meta,"{""content"": ""width=device-width, initial-scale=1"", ""name"": ""viewport""}"
verify.html,7,meta,"{""content"": ""Public verification key and release verification instructions for Olsen Automation cassette releases."", ""name"": ""description""}"
visual-ai-evaluation.html,4,meta,"{""charset"": ""utf-8""}"
visual-ai-evaluation.html,5,meta,"{""content"": ""width=device-width,initial-scale=1"", ""name"": ""viewport""}"
visual-ai-evaluation.html,6,meta,"{""content"": ""noindex,nofollow,noarchive"", ""name"": ""robots""}"
visual-ai-evaluation.html,7,meta,"{""content"": ""Brian Olsen's visual AI evaluation portfolio: prompt design, reference-based analysis, output comparison, fact-checking, and photographic judgment."", ""name"": ""description""}"
