route,preview_state,production_proposal,production_indexing,owner_decision,recoverable_sha256
/assets/visual-ai/twizzlers-intermediate.jpg,public preview,Preserve exact supporting asset/download URL with its approved unlisted page policy,not a search landing page,Approved portfolio assets; family guide stays isolated,cc36341226b5c354eccedf5b9b24f3a122d5067f52638adcc9e3742469524642
/assets/visual-ai/twizzlers-source.jpg,public preview,Preserve exact supporting asset/download URL with its approved unlisted page policy,not a search landing page,Approved portfolio assets; family guide stays isolated,16540d2865da969b3e400fb625ecb65bbae4d800bde3696694f7ccec2fb411a4
/cassette-mp4.html,public preview,Retain route; enable indexing only in separately approved production artifact,indexable at approved launch; currently noindex,,9125241a6ef19cb2e2da12b90066141a0146a5a49a61caf6c6038c8abf650d09
/contact.html,public preview,Retain route; enable indexing only in separately approved production artifact,indexable at approved launch; currently noindex,,78aa234d2370bff34bd9257c4b8242110097c1dba7ebb936facfc86170b13eea
/docs.html,public preview,Retain route; enable indexing only in separately approved production artifact,indexable at approved launch; currently noindex,,f9f7b6581659c7fbc8a99363279dac0d8f2419fd125c5ab064d93230108aec75
/family-card-chaos-access.html,isolated local review,Keep exact route isolated until an approved access-controlled destination is verified,"noindex, nofollow, noarchive, nosnippet",Family access boundary,0b2e649d7e61d171e3a4198cdf7f9a8e3a7978bf7ef438db7fd87ee43eb72792
/firefly-living-lights.html,public preview,Retain route; enable indexing only in separately approved production artifact,indexable at approved launch; currently noindex,,713960eb746e91550fd89abc7c599bf603c8cf144583b07f8da5bcd2710006f8
/images/living-lights/addressable-level-shifter.jpg,public preview,Retain existing resource URL; include only after source/public-output review,not a search landing page,,8485e3853379c1eb30efe892fd80f53b4de6797526ab62b1730f21b42d06d178
/images/living-lights/control-board.jpg,public preview,Retain existing resource URL; include only after source/public-output review,not a search landing page,,c46aa0493fe64d3a2c0bf233372014a73da75bad740e1eab36d3cde3b34daa35
/images/living-lights/firefly-lab-ui.jpg,public preview,Retain existing resource URL; include only after source/public-output review,not a search landing page,,bd0d1fe31a2bbf1d290ba5534e8b3c1115f4155d9e801b361cd05f8f5393fd17
/images/living-lights/led-branch-node.jpg,public preview,Retain existing resource URL; include only after source/public-output review,not a search landing page,,59577bef379d963e8769040da988f03f66b3fbbbd0abdf9bd4be74c01623f42b
/images/living-lights/living-lights-outdoor-habitat.jpg,public preview,Retain existing resource URL; include only after source/public-output review,not a search landing page,,c6257ef6477b2ab1621b98c39e4761a36c63c95fbd47ec8c3dc755238d4fb780
/images/living-lights/outdoor-habitat-context.jpg,public preview,Retain existing resource URL; include only after source/public-output review,not a search landing page,,650fb3303ba79683f0e701c65fc4d58d029ba1bfd26de2e9d9fea1b1619e44e5
/images/living-lights/outdoor-test.jpg,public preview,Retain existing resource URL; include only after source/public-output review,not a search landing page,,304440d1201faf0a54061838379066af29d8263f5b59de0fc71ab909a346f44e
/images/living-lights/placeholder.txt,preserved source only,Retain existing resource URL; include only after source/public-output review,not a search landing page,,fd1ceab67cd57a539ad07453c0ff9b78d3fff36a7f8f6fc40f87c9276fe0fcd1
/images/living-lights/pod-wiring.jpg,public preview,Retain existing resource URL; include only after source/public-output review,not a search landing page,,1f5f4d8bfa186531998d4391e9f6c3939ec333eaf385896752d104f2428a7724
/images/living-lights/service-harness.jpg,public preview,Retain existing resource URL; include only after source/public-output review,not a search landing page,,0d9d254935c062838991d494bbf83310cec7b4ae46ce8d9170fd847a13f96121
/index.html,public preview,Retain route; enable indexing only in separately approved production artifact,indexable at approved launch; currently noindex,,7ced6531b48ad7eb8fb61dbeeb1f334d60a3c3c5a984a2afa67df946d60a3e68
/preview/media/,public preview,Development specimen; exclude from production output,noindex,,9842a8ff9c7e051886435116cbc028e99e11b264d6ad3e868448e1bf1e6769e8
/preview/media/index.html,public preview,Development specimen; exclude from production output,noindex,,9842a8ff9c7e051886435116cbc028e99e11b264d6ad3e868448e1bf1e6769e8
/preview/shell/,public preview,Development specimen; exclude from production output,noindex,,eb700f7aaae499aace429178e9428e3ea561c52d48f4334cf23d40f4dc90b69f
/preview/shell/index.html,public preview,Development specimen; exclude from production output,noindex,,eb700f7aaae499aace429178e9428e3ea561c52d48f4334cf23d40f4dc90b69f
/product-photo-production.html,public preview,Retain exact direct-link route and existing noindex; exclude from navigation/sitemap,"noindex,nofollow","Approved: direct-link/noindex portfolios; resume, site and class alerts for live release",f02e4200eb43d571e197a2e47dda799cb960a6a596984f6fa9b97477e61cb5f7
/projects.html,public preview,Retain route; enable indexing only in separately approved production artifact,indexable at approved launch; currently noindex,,8f24f9dff8215b1905842d20bef1c13d7aa4724f51b7b1b3e98a387aa9420088
/projects/artifact-os.html,public preview,Retain route; enable indexing only in separately approved production artifact,indexable at approved launch; currently noindex,,1807b0784d1df3d2e1851ab92802e429e3eed19454bb710662dcb950a7bd8c02
/projects/batchquote.html,public preview,Retain route; enable indexing only in separately approved production artifact,indexable at approved launch; currently noindex,,b033576510aee2f15d3917036c8c167eb867baf757695b40f26efa17bff926a8
/projects/cedar-bracket-cover-planters.html,public preview,Retain route; enable indexing only in separately approved production artifact,indexable at approved launch; currently noindex,,fba3a179376b97c85e5e1dfaffc40a4c24a84ea4c24749e115c3b30e847b3d79
/projects/clearfloor.html,public preview,Retain route; enable indexing only in separately approved production artifact,indexable at approved launch; currently noindex,,150473c0a9d966dd3b08b5ad01ed15c09505b183c7c93ab900077a913b3b8b6e
/projects/context-passport-compiler.html,public preview,Retain route; enable indexing only in separately approved production artifact,indexable at approved launch; currently noindex,,32950607c56a5326d12ec978382bd6d2633cce8b63cf1bfc9ef135f2b1cac494
/projects/easter-tomb.html,public preview,Retain route; enable indexing only in separately approved production artifact,indexable at approved launch; currently noindex,,df41c8f865c30ddf8b5f674cc056db15e6e009d2eb0261a9e5ab280c70a21132
/projects/family-card-chaos.html,public preview,Retain route; enable indexing only in separately approved production artifact,indexable at approved launch; currently noindex,,7984485548434f8d48a9c825f82ec6edf5508bdad1f1f938c1feeff0e5a72a39
/projects/functional-print-fit.html,public preview,Retain route; enable indexing only in separately approved production artifact,indexable at approved launch; currently noindex,,2b655479fdf387b8fc4d8633d1001fd800dde09f170f980a0751a87287196d5c
/projects/glimmerlings.html,public preview,Retain route; enable indexing only in separately approved production artifact,indexable at approved launch; currently noindex,,92b6d0854bb585059790160874e2bb217643783535194d27e3f952ba2ff573cc
/projects/mechanical-whale.html,public preview,Retain route; enable indexing only in separately approved production artifact,indexable at approved launch; currently noindex,,cef8fdddb44e6f5c1cab3a98948eb676b09872b2a10e5ee0834f7db6adf12832
/projects/olsen-music-studio.html,public preview,Retain route; enable indexing only in separately approved production artifact,indexable at approved launch; currently noindex,,675f12326dd68a95076e9cd161ceffb89af2ba82ae12043bcd8b157f2987847a
/projects/photography-visual-production.html,public preview,Retain route; enable indexing only in separately approved production artifact,indexable at approved launch; currently noindex,,bbd3ed85d63787c5d4a1f558c489b9d2ed918b998b4668c59648505390614332
/projects/product-image-production.html,public preview,Retain route; enable indexing only in separately approved production artifact,indexable at approved launch; currently noindex,,5c1225890de0f2a79d252cb8154e902caf24d0e82e2ac1dc568b49a73f343628
/projects/role-specific-application-portfolios.html,public preview,Retain route; enable indexing only in separately approved production artifact,indexable at approved launch; currently noindex,,e2a41fa0037b0f1af9ed186557c5fd3ef9585c26b7854f7c1802aab8cdf08e7d
/projects/sandy-miniatures.html,public preview,Retain route; enable indexing only in separately approved production artifact,indexable at approved launch; currently noindex,,c8f134533dfa5eb2b72c50f789c080303b86a5c01e5405d53f3333ff61df15da
/projects/sauce-private-roku.html,public preview,Retain route; enable indexing only in separately approved production artifact,indexable at approved launch; currently noindex,,71d8645ccab7ca65d4e63bc1d4d45ba2f27ad3a4b5df56132331e85734bedf6b
/projects/scribr.html,public preview,Retain route; enable indexing only in separately approved production artifact,indexable at approved launch; currently noindex,,d108b6248cb4fa6ec0fb709bd380979b7c36ca1905a1338bc5ec0a4fc6800ede
/projects/stateseal.html,public preview,Retain route; enable indexing only in separately approved production artifact,indexable at approved launch; currently noindex,,92f2bd6f5f1c30c9d885b0ce42e3b42dff203feecd5cef364a5fa7642a9d7dd9
/projects/territory-sales-execution.html,public preview,Retain route; enable indexing only in separately approved production artifact,indexable at approved launch; currently noindex,,61e6cabd7b94ed4cfd7d3295ca3ca704e5a5651c4b6a5e219153db5767edf6f5
/projects/visual-ai-evaluation.html,public preview,Retain route; enable indexing only in separately approved production artifact,indexable at approved launch; currently noindex,,5cca55a4fc6e46b158dfe3c00798adb48b5a8d3f7b9a4a09aaf1ad1fb66a36a5
/projects/wing-light.html,public preview,Retain route; enable indexing only in separately approved production artifact,indexable at approved launch; currently noindex,,a50a683aa04c5350925feb8c1e4c50cf3df4c4c07be6036b4f837db8341d3abf
/sitemap.xml,preserved source only,Replace in production with the locally prepared public-only sitemap,not a search landing page,,550bfff178d86f813092872f91f0700bda0405eff50fc19363e8b938dc071888
/styles.css,preserved source only,Retain existing resource URL; include only after source/public-output review,not a search landing page,,2d0b5878824d419b9790eb7b0a3525e874dce31ec532a95624a9585f95f61309
/support.html,public preview,Retain route; enable indexing only in separately approved production artifact,indexable at approved launch; currently noindex,,e4e487cfd9ba8b00d819662a61ad126f7df1c1a7049b5ab22d57d8289a6dc8df
/territory-sales-execution.html,public preview,Retain exact direct-link route and existing noindex; exclude from navigation/sitemap,"noindex,nofollow,noarchive","Approved: direct-link/noindex portfolios; resume, site and class alerts for live release",ea73f0c861ea08d4b6fafbc964c27fb8f6d580cd3822afdfef06a488417ad0e1
/verify.html,public preview,Retain route; enable indexing only in separately approved production artifact,indexable at approved launch; currently noindex,,2275aa31110812204a467ddde4db2854dfc7c7c0f0525ebb99c126f7cb9c5c3a
/visual-ai-evaluation.html,public preview,Retain exact direct-link route and existing noindex; exclude from navigation/sitemap,"noindex,nofollow,noarchive","Approved: direct-link/noindex portfolios; resume, site and class alerts for live release",4247b3d30cec8e7ac04c0eaf492901cea3c24c91b72987803ee0b41aad995afc
/workshop.html,public preview,Retain route; enable indexing only in separately approved production artifact,indexable at approved launch; currently noindex,,a5db54c381fb918260b1ff2a63515f56bf076a1aab7205fb3422819ac46a05ed
